ID1,ID2,SNP_count_0.001,PRS_0.001,SNP_count_0.01,PRS_0.01,SNP_count_0.05,PRS_0.05,SNP_count_0.1,PRS_0.1,SNP_count_0.2,PRS_0.2,SNP_count_0.5,PRS_0.5
Family1,Child,2,-0.1022671846164249,13,-0.027976010624744616,14,-0.018560021859247645,18,-0.012563009425733691,21,-0.011075380806890734,33,-0.0064724180097420715
Family1,Mother,2,-0.1022671846164249,13,-0.029337791788397603,14,-0.01982453293978256,18,-0.01366245998359928,21,-0.01171067998594224,33,-0.005095159380380684
Family1,Father,2,-0.08030335311401635,13,-0.023809630320419457,14,-0.014691240148088567,18,-0.012647562944839659,21,-0.010722433371755234,33,-0.006411281878356553
Family2,Child,2,-0.1022671846164249,13,-0.030569847440925783,14,-0.020968584617130158,18,-0.015614294090818123,21,-0.013690767662677386,33,-0.008881383273536393
Family2,Father,2,-0.08030335311401635,13,-0.03028114651253052,14,-0.02070050518362027,18,-0.014183176800433196,21,-0.012114466498077252,33,-0.007323021826554736
Family3,Child,2,-0.08030335311401635,13,-0.028172423036827748,14,-0.01892784737063236,18,-0.01582675995603529,21,-0.01429830314151843,33,-0.007968984020828056
Family3,Father,2,-0.073097423810621,13,-0.02924231048758136,14,-0.019735871731881762,18,-0.016455223348118157,21,-0.01410447715552985,33,-0.008771324050264038
Family4,Child,2,-0.0,13,-0.018958672470131704,14,-0.013710187875950021,18,-0.011884522288731901,21,-0.01165175117731799,33,-0.007302313276960608
Family4,Mother,2,-0.08030335311401635,13,-0.023286704924060445,14,-0.014205666565755198,18,-0.00811427250595775,21,-0.006146789147233767,33,-0.004265154739560659
Family4,Father,2,-0.1022671846164249,13,-0.03186924293646732,14,-0.022175166148704437,18,-0.014481072101547964,21,-0.013102314221092376,33,-0.00686833594591863
Family5,Child,2,-0.08030335311401635,13,-0.028427653663828285,14,-0.018979404681253902,18,-0.01378904903798518,21,-0.011743392211031172,33,-0.00656015114915273
Family5,Mother,2,-0.08030335311401635,13,-0.03704072357558404,14,-0.02697725531359854,18,-0.021238347351058288,21,-0.01829867380284151,33,-0.010904678652216476
Family5,Father,2,-0.1022671846164249,13,-0.03742861139006214,14,-0.027522879412921444,18,-0.018581245488391268,21,-0.015850989168522105,33,-0.007312283429420494
Family6,Child,2,-0.08030335311401635,13,-0.03343434780631915,14,-0.023628477813566855,18,-0.019436584632732005,21,-0.01700955888661192,33,-0.010059816322015287
Family6,Mother,2,-0.1022671846164249,13,-0.03352676309613075,14,-0.02371429201124906,18,-0.01950489724336907,21,-0.017408450056939036,33,-0.010474004464301781
Family6,Father,2,-0.1022671846164249,13,-0.03144420625546766,14,-0.025489340376783798,18,-0.01896827429640241,21,-0.01625852082548778,33,-0.010126132497707083
Family7,Child,2,-0.1022671846164249,13,-0.03277161166092924,14,-0.023013079964276224,18,-0.01667200053852009,21,-0.01502279506936254,33,-0.007908544053409655
Family7,Father,2,-0.08030335311401635,13,-0.030084209554110716,14,-0.02051763515080188,18,-0.017128413756876314,21,-0.015414006399382164,33,-0.00830236066284637
Family8,Mother,2,-0.1022671846164249,13,-0.03020127777613684,14,-0.020626341356968995,18,-0.016203304872682407,21,-0.013037703273560838,33,-0.0075856562302124226
Family9,Child,2,-0.1022671846164249,13,-0.023384165960973282,14,-0.014296166100031404,18,-0.00924667716856551,21,-0.007925723287341866,33,-0.004402357152246692
Family9,Mother,2,-0.08030335311401635,13,-0.0361278484936174,14,-0.026129585594629516,18,-0.020644200874791557,21,-0.017695029321249906,33,-0.01066345062292806
Family9,Father,2,-0.073097423810621,13,-0.031221995503741426,14,-0.021574150675458963,18,-0.016938921663512588,21,-0.01396602726747371,33,-0.007931681338189217
Family10,Child,2,-0.08030335311401635,13,-0.02286031883850102,14,-0.013809736629164305,18,-0.00993649602854519,21,-0.008516996595895878,33,-0.004122134971348175
Family10,Mother,2,-0.1022671846164249,13,-0.0321545872024808,14,-0.022440128681431245,18,-0.01867447624855063,21,-0.017471711714305473,33,-0.009232940658507015
Family10,Father,2,-0.05113359230821245,13,-0.027471587383516943,14,-0.018091628849536235,18,-0.013265288409728007,21,-0.011294454529667881,33,-0.00728637136462388
Family11,Child,2,-0.1022671846164249,13,-0.03742962182047718,14,-0.02733837511242788,18,-0.020406412424125595,21,-0.017491210649250508,33,-0.009965723265634685
Family11,Mother,2,-0.1022671846164249,13,-0.028249860606911977,14,-0.01881431112840305,18,-0.01382280610435861,21,-0.012282833095451418,33,-0.0076318689826140014
Family11,Father,2,-0.1022671846164249,13,-0.030859286375417724,14,-0.021237349342015533,18,-0.01672318629419781,21,-0.01579917746771734,33,-0.009815830624883774
Family12,Child,2,-0.05113359230821245,13,-0.022817079568034714,14,-0.013769585878017021,18,-0.010868704598835523,21,-0.00966566171470065,33,-0.005962620735736302
Family12,Mother,2,-0.08030335311401635,13,-0.029166452475013226,14,-0.01966543214878278,18,-0.013425868962103259,21,-0.011380261117777754,33,-0.005793042993414296
Family12,Father,2,-0.1022671846164249,13,-0.04150446296529467,14,-0.034645564764315635,18,-0.026991203360946923,21,-0.02382528387200577,33,-0.013976969287745795
Family13,Child,2,-0.1022671846164249,13,-0.03653994637987193,14,-0.026512247917580143,18,-0.021841680098888663,21,-0.017998222888619814,33,-0.011655403670862425
Family14,Child,2,-0.1022671846164249,13,-0.031829793032684586,14,-0.0221385340951919,18,-0.01737945478018911,21,-0.016361693312852744,33,-0.010152022002750397
Family14,Mother,2,-0.1022671846164249,13,-0.027370249556119847,14,-0.017997529438381787,18,-0.01370156566978464,21,-0.010893355385362754,33,-0.006505018143237577
Family14,Father,2,-0.1022671846164249,13,-0.02493541387209232,14,-0.01573661058892765,18,-0.012444833930685014,21,-0.010369205195957298,33,-0.006088795347067921
